,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,% Enrolled in Free or Reduced Lunch,Median Household Income,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,Cig Tax Rate
Dentist Rate,-0.4321164707877617,-0.3237419306099911,0.2098642630842754,-0.4093141430838097,0.49081359415024767,0.226010916028223,0.07050797930157848,0.16451112626496406,-0.3023625553496711,0.6043794987538464,0.9999999999999999,0.48299574478540624,0.21541635144405297,0.2419825615731723,-0.37996959756769744,-0.163909702161471,0.38429362879305534,0.4801119358124262,-0.11702678261552762,-0.283990461215887,0.003398291610075934,0.10954603878555369,0.008884639981583108,-0.16717652019659365,-0.1573984340337833,0.07680125030379333,0.24572014349578744,-0.26872276151257807,-0.3069454149405882,-0.0223271659977478,-0.13711457348398007,-0.07428384051208684,0.40333788763782324,0.15805479317572071,0.09155407232521218,0.059470548215548,-0.0848501676267262,0.11339083833052686,-0.3711844378638196,0.4315215861812518,-0.24706131377684837,0.33989469402398365,-0.28444497826505327,-0.014878400487623206,-0.27817156775643587,-0.34365796949083294,-0.39465992521994514,-0.36476671895559226,0.3194030640726762,0.2815763010145997
Mental Health Provider Rate,-0.2020926030186457,-0.23130925592765927,-0.023573257544046714,-0.2570912197765496,0.32529895439725115,0.0139003337753201,0.07919904730851338,0.20076619759051023,-0.12731123371940334,0.4203013378857336,0.48299574478540624,0.9999999999999998,0.011036846264877255,0.11442828657921301,-0.1356959326912852,-0.005252526057852591,0.19702903046211057,0.26802464659660047,0.05262210644511065,-0.05981008313872621,0.13298887165112513,0.154812765626945,-0.07808185343920994,-0.1151223069127656,0.02632111790160865,0.15169478131247977,0.2802973985786458,-0.20958617371865523,-0.2312929392096473,-0.110832930719073,-0.09179704093450569,-0.03591920381273572,0.26035929607442326,0.1511383434216563,0.09649037349911548,0.047709872855842064,-0.09122246772492976,0.0370593133910307,-0.3610922682598364,0.2022922722208132,-0.043489343966426605,0.10783211973327712,-0.13357021611078398,0.05937926873242447,-0.011824451785037823,-0.21045752561968603,-0.10667477274288924,-0.07972779152313182,0.10373994171843104,0.30017109102059764
% With Annual Mammogram,-0.23775714510760024,-0.05343791650498832,0.48262660107869615,-0.24131374675405176,0.2395139892976365,0.4545365903479919,0.08796201046921014,-0.08974176359149694,-0.5239149125987264,0.2680325271182098,0.215416351444053,0.011036846264877255,1.0,0.4721599919854492,-0.5337264002049211,-0.22297567949074626,0.4983610493035249,0.44400448666827774,-0.2461451072494547,-0.39640159856890267,-0.23549040442887534,-0.14114608021794797,0.31075037791798665,-0.040940941121852474,-0.2990072588626727,-0.08390390512694221,-0.19964707750254077,0.0994022979806682,-0.08939327445304503,-0.23204289278556528,0.13783736888529952,-0.019585389051894966,0.039434633493773415,-0.09228724833501652,-0.2114350319493719,-0.36397879557804835,0.3289385472533128,-0.252415179934897,0.09752065538130361,0.3269081541050903,-0.3825484787362171,0.28450973668399143,-0.2815895933992316,-0.26185510769043824,-0.481529938637811,-0.18487033208163514,-0.4120556264381722,-0.5046371281353446,0.36684250296247584,0.07900990173144597
% Vaccinated,-0.3222235864482446,-0.14559907452437965,0.4304053517845131,-0.25782048285746306,0.32262216418985945,0.17651755412886005,-0.0411800218719277,0.019943247793325677,-0.4210455380253675,0.2577969479057282,0.24198256157317227,0.11442828657921301,0.4721599919854492,1.0,-0.4279626037352031,-0.14648113794415188,0.37173234977151703,0.4165476388146841,-0.32594877973531544,-0.4440128590179526,-0.1768128928111279,-0.06785564145468684,0.0702691864540377,0.15252865196198878,-0.3540630335885423,-0.014554322038173207,-0.039785980946658875,0.1217427826315993,0.04138886525281331,-0.07841699214014326,-0.17846233688698598,-0.039595012806180566,0.223033462766427,-0.0050546517574951355,-0.15837084054231196,-0.1380131804702543,0.13559772785671292,-0.04483891354839199,-0.053546867536056156,0.43449440724261207,-0.3636255009701016,0.4368547221433017,-0.17661682942441367,-0.2465335714102108,-0.42066618203968076,-0.19312686513527874,-0.36520417735777094,-0.44118406903070745,0.3218958479184783,0.07941550963321216
% Fair or Poor Health,0.7016526009958322,0.43752513051986974,-0.751572500005133,0.6071826607278207,-0.4624708634415668,-0.6825348787863587,-0.09889246898334572,0.3367124748662897,0.7964056249713312,-0.3854217635892523,-0.37996959756769744,-0.13569593269128521,-0.5337264002049211,-0.4279626037352032,1.0,0.560903635346996,-0.8426387332796806,-0.774254682118302,0.497085415848307,0.8426766723305377,0.5042246110229666,0.29872230484022705,-0.2219540973813167,0.3099062093098026,0.3693956331717947,0.028409082068409305,0.24104216396937153,0.18530546888094312,0.07908615385253345,0.1427637376344166,-0.04680395368996174,0.389463926741064,-0.2570840654557972,-0.018519652191295536,0.14987356940836255,0.22231583172079444,-0.4340369919770097,0.1786083333165218,-0.17065877807660598,-0.7162021310898109,0.7833129679624002,-0.7151682690794563,0.697327077675345,0.27164209358008384,0.8438212630720092,0.565095526135275,0.8465058177776832,0.9411582492797613,-0.6997225570387529,-0.30076115822132626
% Low birthweight,0.364699688414838,0.3030964058242253,-0.48722384081059256,0.3911997821845579,-0.22093794654154889,-0.5301993930937631,-0.05824589618520544,0.5195234809710344,0.44879273550096027,-0.12029432628164179,-0.163909702161471,-0.005252526057852591,-0.22297567949074626,-0.14648113794415185,0.560903635346996,1.0,-0.4012899103708304,-0.3544442299896581,0.24873448132003068,0.622204651972867,0.5090704568606438,0.43444013742700405,-0.14563343338121398,0.2943020577080586,0.2472942287841705,0.011000801604087696,0.19844443776718698,0.2109737822931022,0.14040405745471762,-0.062008375322718565,-0.06936362983114,0.7140879719485764,-0.0941708951057549,-0.08063762788734365,-0.055882487453604225,-0.043253485834998454,-0.43622360368761864,-0.08044939380232691,-0.23415039306124855,-0.42516955468149614,0.5564670820342791,-0.40200211276694847,0.5581764062966392,0.13928049111644555,0.5741096427100705,0.44791069486881113,0.4740220709053828,0.48648500918295146,-0.499281115807079,-0.3607986134438931
% Completed High School,-0.47729399135856976,-0.3073780348180708,0.5276355347487967,-0.46872058270211736,0.39638803288475105,0.5323797931208757,0.12344404719590298,-0.22256660955848534,-0.7057438200103765,0.3732496961391604,0.3842936287930553,0.19702903046211057,0.4983610493035249,0.37173234977151703,-0.8426387332796806,-0.4012899103708304,0.9999999999999999,0.7726462603563997,-0.35211670179505034,-0.6706457777647369,-0.3762390594019741,-0.21798928414516439,0.21411909558244677,-0.2630593459196851,-0.1965867474633053,-0.009778089056126855,-0.2446492450434495,-0.07881894296037306,-0.10047436087476064,-0.24390247968089968,0.12325757172242506,-0.28230351965135814,0.1412237514659202,-0.02569524634410636,-0.0315100490551454,-0.4265941732765315,0.471328933775396,-0.443104452000597,0.12852684209662943,0.6005264798611223,-0.6790423573352379,0.5239964067712682,-0.49730859040303294,-0.17383261987784002,-0.6045112409320021,-0.41232650166161067,-0.6050408883627624,-0.7317962103333587,0.48259312018688433,0.24979660657316696
% Some College,-0.6587589147023625,-0.3889578992846199,0.514097620438228,-0.5627052409341632,0.49987559893695194,0.4355442246861458,0.07226620904849362,-0.07099538641737359,-0.6897784984313213,0.4909796043408423,0.4801119358124262,0.26802464659660047,0.4440044866682777,0.4165476388146841,-0.774254682118302,-0.3544442299896581,0.7726462603563996,1.0,-0.36962369678488094,-0.6509966330089012,-0.21694882044936512,-0.12808268539838502,0.13585590241426793,-0.16847359848608945,-0.3818512322532688,-0.018796355102541008,-0.030303123347526138,-0.1644674465713467,-0.14630502704070888,-0.05484470780878338,-0.14994062819756812,-0.1967954819281672,0.380320175611988,0.053334203275260166,-0.0751551920778831,-0.14958300961878385,0.20230218978113082,-0.11438243279206045,-0.11925197250867813,0.6652229668532548,-0.6145745861875789,0.6201629639958379,-0.5402075594442889,-0.16170937506669167,-0.5946700530968441,-0.499875486439265,-0.7000695793003218,-0.7472435709210703,0.5553864908749216,0.2082781413940697
% Unemployed,0.4327937364279551,0.2584218032517551,-0.4909192135830311,0.26175683238392783,-0.14755298276198003,-0.23636398935457192,0.07858898506217965,0.13144214917469066,0.35023963612202386,-0.17084736932260347,-0.11702678261552761,0.05262210644511066,-0.2461451072494547,-0.32594877973531544,0.49708541584830696,0.24873448132003068,-0.3521167017950504,-0.369623696784881,0.9999999999999999,0.52665723595931,0.3416716219942909,0.11010262364940346,-0.15126833931954883,0.12648481791600918,0.2943951986554303,0.05578852071232114,0.22197917776521997,0.06378498969058786,0.0460444773979846,-0.07287048860685028,0.1578775348524155,0.1250414431244317,-0.14744597923163347,-0.046498893533498994,0.18893221050448872,0.044034788184536336,-0.15448329745640993,0.03583132780565878,-0.028017216840737127,-0.37301339287764573,0.40096411275760985,-0.4267708092410838,0.38340572779483867,0.18700126864445643,0.5427751552060005,0.31201461868961344,0.497934239469057,0.5464210255792414,-0.35644226249119637,0.1538194175689958
% Children in Poverty,0.6515688185938004,0.3965986966760148,-0.7635138244491403,0.555205550588936,-0.4071098999709928,-0.5350264062125665,-0.044548450716518286,0.4116336540166175,0.7137696472922084,-0.27981227204403797,-0.283990461215887,-0.05981008313872621,-0.39640159856890267,-0.4440128590179526,0.8426766723305377,0.6222046519728669,-0.6706457777647369,-0.6509966330089012,0.5266572359593099,1.0,0.5778085469560366,0.3569739780223109,-0.1113171755775344,0.20595985802952566,0.4331166740952514,0.010274351303823693,0.26927398402777214,0.11471955202043173,-0.014251808165788566,-0.029004280152895814,0.15055444217506717,0.4878683222961417,-0.27137703183776934,-0.07639437399327749,0.17879138129134745,0.06269990428988736,-0.3996845197238318,0.015696775288431677,-0.20046592762706716,-0.7445677829700597,0.8208340300067712,-0.7913108215875666,0.5940723616981731,0.2941564360113433,0.8445001332822589,0.5539641077678527,0.7258040303042981,0.8137678920738323,-0.6796954558939023,-0.2558130203171594
Income Ratio,0.28982231920582513,0.14804121814462468,-0.4983543404900447,0.24885245792208313,-0.15789806168790196,-0.36309742520265803,-0.04513554856033311,0.4472298509147341,0.32256741170014397,0.03682221935116358,0.003398291610075934,0.1329888716511251,-0.23549040442887534,-0.17681289281112786,0.5042246110229666,0.5090704568606438,-0.37623905940197405,-0.21694882044936512,0.3416716219942909,0.5778085469560367,1.0,0.3247598447392474,-0.1123371275778547,0.1957530439614728,0.18110214546813855,0.06287832130168051,0.4386878279431107,-0.04619498950689085,0.027844694771284016,-0.10742178234855228,-0.07134143804596363,0.44681988238293224,0.05687997570610002,-0.06558954480064728,0.13195702632283243,0.0451014632026103,-0.39357008926549164,0.04664169701498353,-0.3793671690490038,-0.42696579601001866,0.45362244280344277,-0.38258469291884356,0.39892326098294933,0.16880502398716746,0.5677716032409496,0.2798940860452988,0.41237166863158553,0.4719724033196685,-0.3780285201347048,-0.09935892015367151
Violent Crime Rate,0.05405705634300752,0.10660051382228294,-0.3180639023482338,0.14113408965197793,0.07372775751601349,-0.2347656006096394,-0.035923845923831216,0.5725541353619955,0.3026079627155818,0.06895048978105386,0.10954603878555369,0.154812765626945,-0.14114608021794797,-0.06785564145468685,0.29872230484022705,0.43444013742700405,-0.21798928414516436,-0.12808268539838502,0.11010262364940347,0.35697397802231084,0.3247598447392474,1.0,-0.11532285031328324,0.1806512889085691,0.09232849278773864,0.09493008343407852,0.3413457483805902,-0.01072001221638761,-0.08625741467560764,0.07380912426416579,-0.18216190774468508,0.48419368585019096,0.12861353176978807,0.11601011822697657,0.01630185930369484,0.1789477164365301,-0.4934093944325041,0.17147022943821513,-0.4402850011356816,-0.1324657159754626,0.39456734490071793,-0.20334444963890774,0.21784081618939,0.17142305126601157,0.32047533113354965,0.14827229289536745,0.1607454102047114,0.22306355494075336,-0.2566636582756493,-0.10294858475342065
Social Association Rate,0.0715695485646284,0.08314116937226979,0.14915179205133217,0.05722376022575845,-0.04469557851029191,0.24617803715869618,0.01204582791697023,-0.14636111275275487,-0.08636570656031664,0.07780700242615025,0.008884639981583108,-0.07808185343920994,0.31075037791798665,0.0702691864540377,-0.2219540973813167,-0.14563343338121396,0.21411909558244674,0.13585590241426793,-0.15126833931954886,-0.1113171755775344,-0.1123371275778547,-0.11532285031328322,1.0,-0.10912634742447865,0.014319628004116531,-0.0718389985295897,-0.36507471596611063,0.09356665805302058,-0.28270451579396777,-0.11397156807327852,0.2818558209740206,-0.08561366825987533,-0.18932927485046938,-0.1454081431720693,-0.09627307624789072,-0.25319754771033504,0.29663259821970533,-0.22952909301453592,0.13085715814302828,-0.0811843665482749,-0.12185084456588179,-0.09863506889710986,-0.19643501708793626,-0.07220344014965721,-0.15372058140009712,0.007464928676344174,-0.14103392829808292,-0.21801206172063384,0.002895218964015703,0.02461136900659884
Average Daily PM2.5,0.21019772032828238,0.22080539488028397,-0.11166806524154821,0.2877926070275165,-0.11241433251392513,-0.3522017574765997,-0.1368776983754734,0.2233669616973123,0.15925416779201157,-0.13524549819652276,-0.16717652019659365,-0.1151223069127656,-0.040940941121852474,0.15252865196198878,0.30990620930980256,0.2943020577080586,-0.26305934591968516,-0.16847359848608945,0.12648481791600918,0.20595985802952563,0.1957530439614728,0.1806512889085691,-0.10912634742447865,1.0,-0.10556838635275477,-0.04908370314024457,0.07148522913463874,0.3044390842307901,0.33415760255182514,0.07845028845667211,-0.2063489079974203,0.3479714381613777,0.09247331381297774,-0.007775574034021034,-0.18928846103680505,-0.07356411246282224,-0.14990622383981667,0.022427164663732218,-0.08528903965717134,-0.11328194202464209,0.2421372174432099,-0.07180140243169598,0.422424820876178,-0.12709602843544293,0.2390168396637246,0.263380754153477,0.3243933912082946,0.26994343469729953,-0.27938112441800234,-0.2268095276426824
Injury Death Rate,0.501160048232535,0.19476912709431668,-0.410914649969163,0.32761951796092814,-0.27578835188106826,-0.23091890558150308,0.08603448876103659,-0.0004925793113696984,0.41165117944862956,-0.13761127901731632,-0.1573984340337833,0.02632111790160865,-0.2990072588626727,-0.3540630335885423,0.3693956331717947,0.2472942287841705,-0.1965867474633053,-0.3818512322532688,0.2943951986554303,0.4331166740952514,0.18110214546813852,0.09232849278773865,0.014319628004116531,-0.10556838635275477,1.0,0.0486028773680884,-0.0555041637912656,0.06168274730121786,0.008867927632388167,-0.13955372300175492,0.3848812790845245,-0.0088290672382707,-0.36440580849631377,-0.10931577037202299,0.32392394325926904,-0.17952499217522658,0.07879392251145709,-0.270120468110227,0.1405378880598575,-0.4296825439706204,0.33681937778066373,-0.4860262875338719,0.284464943164971,0.19546791897214344,0.4279924650320188,0.33654256657094217,0.5028018251298334,0.4670196126920812,-0.5893039029479638,-0.08244366045228363
Presence of Water Violation,-0.08968478307709844,-0.06707031779685198,-0.08548220555761406,-0.08043796545917553,0.05731271484591651,-0.01522955525622235,0.0157531391877151,0.03748945378034189,0.027580969413829377,0.037067095139010436,0.07680125030379333,0.15169478131247977,-0.08390390512694221,-0.014554322038173209,0.0284090820684093,0.011000801604087696,-0.009778089056126855,-0.018796355102541008,0.05578852071232114,0.010274351303823693,0.06287832130168051,0.09493008343407852,-0.07183899852958969,-0.04908370314024457,0.048602877368088396,0.9999999999999999,0.12601243080143054,-0.04820774067897327,-0.026212485084925335,0.006908384525848777,-0.03761502538807005,-0.051111537296772064,0.055808858690959855,0.06777738448916089,0.05584366367630696,0.18062818635605976,-0.11929785477803158,0.11423477398812586,-0.09549456828321579,0.03777643056603238,0.0013243184836325718,0.02470441240312412,-0.04612671562347652,0.10714612591920344,0.042454796268247996,-0.05842019492716012,-0.0006420059747273991,0.010755690096691821,0.048104561562941066,0.1608943736992284
% Severe Housing Problems,-0.15678000739591144,-0.17899273331253038,-0.2680528189854006,-0.12683869225044886,0.19809712371167718,-0.17912123441821182,-0.0036339324798970174,0.4347839157377885,0.056987779883266386,0.15244069009984937,0.24572014349578747,0.2802973985786458,-0.19964707750254077,-0.039785980946658875,0.24104216396937153,0.19844443776718698,-0.2446492450434495,-0.030303123347526138,0.22197917776521997,0.26927398402777214,0.43868782794311073,0.3413457483805902,-0.36507471596611063,0.07148522913463874,-0.0555041637912656,0.12601243080143054,1.0,-0.3551212548885127,0.022431569949080056,-0.009151725979061331,-0.20945200421968466,0.2679103385129159,0.36556061148276453,0.18623929140313877,0.1604823132296966,0.3909439899802902,-0.5636621436519176,0.46041180549212407,-0.5833087038351717,0.004866728849776506,0.3272933654199374,-0.034752097912672725,0.10672382125928459,0.1560524608120213,0.2585664767820074,-0.04858879384222687,0.05417906352653286,0.20661499225325142,0.03941735946221062,0.15766959712102427
